鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
中壢區,租賃房屋,桃園市中壢區環中東路二段３１２巷１０號四樓之６,0.0,,,,1140701,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880528,36.16,1,0,1,有,有,有,6500,180,,0.0,0,水電費及管理費每月 500 元 由承租人負擔續租案件；,RPPPMLOJPHKGFBH58CC,獨立套房,有,1140701~1150630,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
觀音區,租賃房屋+車位,桃園市觀音區忠孝一街３５８號二樓,0.0,,,,1140620,土地0建物1車位1,二層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1131022,63.66,2,1,1,有,有,有,16000,251,一樓平面,0.0,1000,管理費另計1000元機車位另計0元,RPQPMLOJPHKGFBH68CC,整棟(戶)出租,有,1140701~1150630,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
中壢區,租賃房屋,桃園市中壢區領航南路一段１０１號十一樓,0.0,,,,1140627,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1031208,247.99,3,2,2,有,有,有,22643,91,,0.0,0,每月管理費5357出租人自付。未租賃車位，建物登記含有車位面積；續租案件；,RPRPMLOJPHKGFBH78CC,整棟(戶)出租,有,1140701~1150630,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
觀音區,租賃房屋+車位,桃園市觀音區福恩路一段１１８巷６６號七樓,0.0,,,,1140620,土地0建物1車位1,七層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1110325,147.26,2,2,2,有,有,有,16000,127,坡道平面,36.65,2000,管理費另計3000元機車位另計0元,RPSPMLOJPHKGFBH88CC,整棟(戶)出租,有,1140703~1150702,有,冷氣、熱水器,社會住宅包租轉租
中壢區,租賃房屋,桃園市中壢區中山東路三段４１４巷３６弄１７０號,0.0,,,,1140614,土地0建物1車位0,全,4,透天厝,住宅（附屬停車空間）、住宅,鋼筋混凝土造,1121102,226.02,3,2,3,有,無,有,11000,49,,0.0,0,續租案件；,RPXPMLOJPHKGFBH76CC,整棟(戶)出租,無,1140725~1150724,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
中壢區,租賃房屋,桃園市中壢區興仁路二段１４４之１號三樓A２房,0.0,,,,1140610,土地0建物0車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721230,93.05999999999999,2,0,1,有,無,有,6000,64,,0.0,0,租金總額含水費；網路費；,RPQQMLOJPHKGFBH78CC,分租套房,無,1140615~1150614,無,冷氣、熱水器、電視機、冰箱,一般代管
中壢區,租賃房屋,桃園市中壢區興仁路二段１４４之１號三樓A１房,0.0,,,,1140610,土地0建物0車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721230,93.05999999999999,2,0,1,有,無,有,6000,64,,0.0,0,租金總額含水費；網路費；,RPRQMLOJPHKGFBH88CC,分租套房,無,1140615~1150614,無,冷氣、熱水器、電視機,一般代管
中壢區,租賃房屋,桃園市中壢區興仁路二段１３８之１號三樓５號房,0.0,,,,1140610,土地0建物0車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721230,94.42999999999999,2,0,1,有,無,有,5000,53,,0.0,0,租金總額含水費；網路費；,RPSQMLOJPHKGFBH98CC,分租套房,無,1140610~1150609,無,冷氣、熱水器、電視機、冰箱,一般代管
中壢區,租賃房屋,桃園市中壢區興仁路二段１３８之１號三樓３號房,0.0,,,,1140610,土地0建物0車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721230,94.42999999999999,2,0,1,有,無,無,5000,53,,0.0,0,租金總額含水費；網路費；,RPTQMLOJPHKGFBH09CC,分租套房,無,1140610~1150609,無,,一般代管
中壢區,租賃房屋,桃園市中壢區慈惠三街１１７號十四樓之２,0.0,,,,1140630,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830607,148.56,3,1,1,有,有,有,21000,141,,0.0,0,續租案件；,RPUQMLOJPHKGFBH56CC,整棟(戶)出租,有,1140701~1150630,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
中壢區,租賃房屋,桃園市中壢區興仁路二段１４４之１號三樓B２房,0.0,,,,1140610,土地0建物0車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721230,93.05999999999999,2,0,1,有,無,有,6000,64,,0.0,0,租金總額含水費；網路費；,RPVQMLOJPHKGFBH66CC,分租套房,無,1140615~1150614,無,冷氣、熱水器、電視機、冰箱,一般代管
中壢區,租賃房屋,桃園市中壢區普忠路５９９號三樓,0.0,,,,1140609,土地0建物1車位0,三層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060920,123.88,3,1,2,有,有,有,18000,145,,0.0,0,管理費另計2000元由承租人負擔續租案件；,RPWQMLOJPHKGFBH76CC,整棟(戶)出租,有,1140701~1150630,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
中壢區,租賃房屋,桃園市中壢區興仁路二段１４４之１號三樓B１房,0.0,,,,1140610,土地0建物0車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721230,93.05999999999999,2,0,1,有,無,有,6000,64,,0.0,0,租金總額含水費；網路費；,RPXQMLOJPHKGFBH86CC,分租套房,無,1140615~1150614,無,冷氣,一般代管
中壢區,租賃房屋,桃園市中壢區興仁路二段１４６號三樓２號房,0.0,,,,1140610,土地0建物0車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721230,86.75999999999999,2,0,1,有,無,有,6000,69,,0.0,0,租金總額含水費；網路費；,RPORMLOJPHKGFBH68CC,分租套房,無,1140615~1150614,無,熱水器,一般代管
