鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之８號四樓之１８,0.0,,,,1140701,土地0建物1車位0,四層,5,其他,集合住宅,鋼筋混凝土造,0940815,22.21,1,1,1,有,有,有,4500,203,,0.0,0,,RPQNMLNJPHKGFDQ86CC,獨立套房,有,1140701~1150630,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
朴子市,租賃房屋,嘉義縣朴子市祥和三路西段２２９號,0.0,,,,1140620,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0920805,16.5,12,0,12,有,無,有,6100,370,,0.0,0,租金總額含水費；其他公共水費、公共電費；含增建或未登記建物；,RPPNMLOJPHKGFBQ66CC,分租套房,無,1140620~1150619,無,冷氣、熱水器、冰箱,一般轉租
朴子市,租賃房屋,嘉義縣朴子市祥和三路西段２２９號,0.0,,,,1140620,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0920805,16.5,12,0,12,有,無,有,6100,370,,0.0,0,租金總額含水費；其他公共水費、公共電費；含增建或未登記建物；,RPQNMLOJPHKGFBQ76CC,分租套房,無,1140620~1150619,無,冷氣、熱水器、冰箱,一般轉租
朴子市,租賃房屋,嘉義縣朴子市祥和三路西段２２９號,0.0,,,,1140620,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0920805,16.5,12,0,12,有,無,無,6100,370,,0.0,0,租金總額含水費；其他公共水費、公共電費；含增建或未登記建物；,RPRNMLOJPHKGFBQ86CC,分租套房,無,1140620~1150619,無,冷氣、熱水器、冰箱,一般轉租
朴子市,租賃房屋,嘉義縣朴子市祥和三路西段２２９號,0.0,,,,1140620,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0920805,16.5,12,0,12,有,無,有,6100,370,,0.0,0,租金總額含水費；其他公共水費、公共電費；含增建或未登記建物；,RPSNMLOJPHKGFBQ96CC,分租套房,無,1140620~1150619,無,冷氣、熱水器、冰箱,一般轉租
朴子市,租賃房屋,嘉義縣朴子市祥和三路西段２２９號,0.0,,,,1140620,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0920805,16.5,12,0,12,有,無,無,6100,370,,0.0,0,租金總額含水費；其他公共水費、公共電費；含增建或未登記建物；,RPTNMLOJPHKGFBQ07CC,分租套房,無,1140620~1150619,無,冷氣、熱水器、冰箱,一般轉租
朴子市,租賃房屋,嘉義縣朴子市祥和三路西段２２９號,0.0,,,,1140620,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0920805,16.5,12,0,12,有,無,有,6100,370,,0.0,0,租金總額含水費；其他公共水費、公共電費；含增建或未登記建物；,RPUNMLOJPHKGFBQ17CC,分租套房,無,1140620~1150619,無,冷氣、熱水器、冰箱,一般轉租
民雄鄉,租賃房屋,嘉義縣民雄鄉成功一街２９號,1749.0,工,,,1140630,土地1建物1車位0,見其他登記事項,1,工廠,避難室、工場（廠）、廠房,鋼骨造、ＲＣ造,0771206,1235.09,0,0,0,無,無,無,250000,,,0.0,0,租金總額含稅；,RPPNMLOJPHKGFCQ76CC,,無,1140715~1170715,無,,
新港鄉,租賃房屋,嘉義縣新港鄉大潭村大潭５５之２號,0.0,,,,1140702,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,1100202,29.54,9,1,10,有,無,有,5600,190,,0.0,0,續租案件；,RPQNMLOJPHKGFCQ86CC,分租套房,無,1140801~1150731,無,冷氣、熱水器、洗衣機,一般代管
大林鎮,租賃房屋,嘉義縣大林鎮過溪里過溪２４８號,0.0,,,,1140703,土地0建物0車位0,全,3,透天厝,住宅、樓梯間,鋼筋混凝土造,1090624,24.24,5,1,4,有,無,有,5500,227,,0.0,0,續租案件；,RPRNMLOJPHKGFCQ96CC,分租雅房,無,1140806~1150805,無,冷氣、電視機,一般代管
