鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮維揚路,33.15,住,,,1140718,土地4建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.71,3,2,2,有,無,19360000,130988,坡道平面,27.27,1750000,,RPTNMLLKQHKGFAG48DB,力信擎朗,A棟1號,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮維揚路,28.14,住,,,1140723,土地4建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.85,3,2,2,有,無,16280000,127927,坡道平面,27.27,1750000,,RPUNMLLKQHKGFAG58DB,力信擎朗,A棟3號,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮維揚路,31.37,住,,,1140730,土地4建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.33,3,2,2,有,無,16900000,117661,坡道平面,27.27,1950000,,RPVNMLLKQHKGFAG68DB,力信擎朗,A棟3號,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮維揚路,28.14,住,,,1140802,土地4建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.85,3,2,2,有,無,15670000,122557,坡道平面,27.27,1750000,,RPWNMLLKQHKGFAG78DB,力信擎朗,A棟3號,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮維揚路,31.37,住,,,1140802,土地4建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.33,3,2,2,有,無,17060000,118920,坡道平面,27.27,1950000,,RPOOMLLKQHKGFAG08DB,力信擎朗,A棟3號,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮維揚路,28.14,住,,,1140803,土地4建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.85,3,2,2,有,無,16070000,124318,坡道平面,27.27,1950000,,RPPOMLLKQHKGFAG18DB,力信擎朗,A棟3號,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮維揚路,28.14,住,,,1140807,土地4建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.85,3,2,2,有,無,17140000,135499,坡道平面,27.27,1750000,,RPQOMLLKQHKGFAG28DB,力信擎朗,A棟3號,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮維揚路,25.87,住,,,1140810,土地4建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.25,3,2,2,有,無,15530000,131263,坡道平面,27.27,1750000,,RPROMLLKQHKGFAG38DB,力信擎朗,A棟5號,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮維揚路,31.53,住,,,1140810,土地4建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.98,3,2,2,有,無,19790000,141258,坡道平面,27.27,1750000,,RPSOMLLKQHKGFAG48DB,力信擎朗,A棟2號,
三星鄉,房地(土地+建物)+車位,宜蘭縣三星鄉新頂義段316地號,39.26,,特定農業區,甲種建築用地,1140716,土地2建物1車位1,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,102.67,2,1,2,有,無,6800000,69736,一樓平面,14.48,650000,,RPPNMLMKQHKGFAG08CB,久誼Ⅱ謙境,3B棟,
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮和平路,38.15,住,,,1140805,土地3建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,154.88,3,2,2,有,無,8320000,59877,坡道平面,32.63,1000000,,RPQNMLMKQHKGFAG18CB,好室多,A棟A2-4F號,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市東港路二段,31.8,住,,,1140728,土地6建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.99,3,2,2,有,無,17020000,123105,坡道平面,33.95,1750000,,RPPNMLMKQHKGFBG18CB,皇程首賦,A棟3號,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市東港路二段,21.51,住,,,1140728,土地6建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.39,2,2,2,有,無,11700000,120038,坡道平面,31.25,1600000,,RPQNMLMKQHKGFBG28CB,皇程首賦,A棟5號,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市東港路二段,21.51,住,,,1140728,土地6建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.09,2,2,2,有,無,13240000,135370,坡道平面,33.95,1850000,,RPRNMLMKQHKGFBG38CB,皇程首賦,A棟5號,
