鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
善化區,租賃房屋,臺南市善化區永福路３１號五樓,0.0,,,,1140915,土地0建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881004,114.17,3,1,2,有,有,有,15300,134,,0.0,0,台南市不動產租賃公會民間住宅包租代管第四期計畫。管理費1700元由出租人負擔,RPWNMLQKRHKGFHD17CC,整棟(戶)出租,有,1140915~1150914,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
仁德區,租賃房屋,臺南市仁德區中正西路３６０巷２０弄４１號四樓之１,0.0,,,,1140911,土地0建物1車位0,四層,4,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0960920,14.14,1,0,1,有,有,有,3500,248,,0.0,0,含增建或未登記建物；續租案件；,RPPNMLQKRHKGFID56CC,獨立套房,有,1140920~1150319,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
仁德區,租賃房屋,臺南市仁德區北保二街１８號,0.0,,,,1140914,土地0建物0車位0,全,2,透天厝,住商用,加強磚造,0710225,12.75,6,1,6,有,無,無,8700,682,,0.0,0,租金總額含水費；網路費；含增建或未登記建物；,RPQNMLQKRHKGFID66CC,分租套房,無,1140914~1150914,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
仁德區,租賃房屋,臺南市仁德區開發六路２３號,1212.0,,工業區,丁種建築用地,1140912,土地1建物1車位0,見其他登記事項,1,廠辦,工業用,鋼鐵、加強磚造,0770902,182.02,0,0,0,無,無,無,105000,577,,0.0,0,,RPRNMLQKRHKGFID76CC,,無,1140912~1200911,無,,
仁德區,租賃房屋,臺南市仁德區德崙路２１巷３６號十二樓之３,0.0,,,,1140901,土地0建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1051122,87.9,2,2,1,有,有,有,20000,228,,0.0,0,參加公會版住宅包租代管4-1期計畫租金總額含管理費；,RPSNMLQKRHKGFID86CC,整棟(戶)出租,有,1140901~1150831,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
歸仁區,租賃房屋,臺南市歸仁區辜厝里大順街１３號六樓,0.0,,,,1140824,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870421,108.92999999999999,3,1,2,有,有,有,14000,129,,0.0,0,台南市社會住宅包租代管公會版增辦第4期，租金市價9折,RPTNMLQKRHKGFID96CC,整棟(戶)出租,有,1140912~1150910,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
歸仁區,租賃房屋,臺南市歸仁區中正南路３段９５巷３０弄２９號,0.0,,,,1140818,土地0建物0車位0,一層,5,華廈(10層含以下有電梯),住宅、管理維護空間、門廊、樓梯間、機械室。,鋼筋混凝土造,0960914,13.22,25,0,25,有,無,無,5000,378,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；,RPUNMLQKRHKGFID07CC,分租套房,無,1140901~1150228,有,冷氣、熱水器、網路,一般轉租
永康區,租賃房屋,臺南市永康區新中街２８１巷１８號,0.0,,,,1140829,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,1020205,20.96,15,0,15,有,無,有,6000,286,,0.0,0,租金總額含網路費；其他有線電視或MOD；,RPPNMLQKRHKGFKD76CC,分租套房,無,1140829~1150909,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
永康區,租賃房屋,臺南市永康區新民街１６巷１弄１０號,0.0,,,,1140829,土地0建物0車位0,全,4,透天厝,停車空間，住宅,鋼筋混凝土造,1000621,26.74,8,0,8,有,無,有,6200,232,,0.0,0,租金總額含網路費；其他有線電視或MOD；,RPQNMLQKRHKGFKD86CC,分租套房,無,1140901~1150831,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
永康區,租賃房屋,臺南市永康區新中街２８１巷１８號,0.0,,,,1140901,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,1020205,20.96,15,0,15,有,無,有,6000,286,,0.0,0,租金總額含網路費；其他有線電視或MOD；,RPRNMLQKRHKGFKD96CC,分租套房,無,1140901~1150831,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
