鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
斗六市,租賃房屋,雲林縣斗六市樂利街５３號六樓之１３,0.0,,,,1141027,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,15.549999999999999,1,0,1,有,有,有,4200,270,,0.0,0,含增建或未登記建物；,RPUNMLRJJIKGFAP76CC,獨立套房,有,1141101~1150430,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號六樓之１５,0.0,,,,1141025,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,16.299999999999997,1,0,1,有,有,有,4200,258,,0.0,0,含增建或未登記建物；續租案件；,RPVNMLRJJIKGFAP86CC,獨立套房,有,1141025~1150424,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號七樓之２６,0.0,,,,1141023,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,15.549999999999999,1,0,1,有,有,有,4200,270,,0.0,0,含增建或未登記建物；,RPROMLRJJIKGFAP56CC,獨立套房,有,1141101~1150430,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市大同路３２號二樓,0.0,,,,1141030,土地0建物2車位0,見其他登記事項,5,華廈(10層含以下有電梯),店舖,鋼筋混凝土造,0930914,311.4,0,0,0,無,有,無,148000,475,,0.0,0,租金總額含稅；含有多個門牌且未個別計算租金斗六市大同路32號；,RPRNMLKKJIKGFAP48CC,,無,1150101~1201231,有,,
西螺鎮,租賃房屋,雲林縣西螺鎮公館３８１號,128.0,,特定農業區,甲種建築用地,1141023,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0691202,185.85,3,1,2,有,無,無,33000,178,,0.0,0,,RPPNMLKKJIKGFCP48CC,,無,1141113~1170531,無,,
北港鎮,租賃房屋,雲林縣北港鎮崇文街３號,0.0,,,,1141107,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0681104,90.52,3,1,3,有,無,無,5000,55,,0.0,0,續租案件；,RPRNMLLKJIKGFEP98CC,整棟(戶)出租,無,1141120~1151119,無,熱水器,社會住宅包租轉租
斗六市,租賃房屋,雲林縣斗六市六合街３３號４樓,0.0,,,,1141107,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831118,95.1,3,1,2,有,有,有,15000,158,,0.0,0,管理費1000元由出租人負擔。續租案件；,RPPNMLMKJIKGFAP48CC,整棟(戶)出租,有,1141120~1151119,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
北港鎮,租賃房屋,雲林縣北港鎮公民路５９之３號,85.89,商,,,1141109,土地2建物1車位0,全,3,透天厝,住商用,加強磚造,0641030,112.68,4,2,2,有,無,無,18000,160,,0.0,0,,RPPNMLNKJIKGFEP98CC,整棟(戶)出租,無,1141120~1151119,無,冷氣、熱水器、冰箱、瓦斯或天然氣,
斗六市,租賃房屋,雲林縣斗六市樂利街５３號三樓之２５,0.0,,,,1141028,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,15.549999999999999,1,0,1,有,有,有,4200,270,,0.0,0,含增建或未登記建物；,RPTNMLOKJIKGFAP09CC,獨立套房,有,1141101~1150430,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市石榴路３６９巷１３３號九樓,0.0,,,,1141105,土地0建物1車位0,九層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0971101,91.74000000000001,2,1,1,有,有,有,13000,142,,0.0,0,,RPQNMLPKJIKGFAP88CC,整棟(戶)出租,有,1141110~1151109,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
西螺鎮,租賃房屋,雲林縣西螺鎮中正路４６號,0.0,,,,1141110,土地0建物0車位0,全,3,透天厝,住商用,加強磚造,0651120,39.86,3,0,3,有,無,有,8925,224,,0.0,0,,RPRNMLQKJIKGFCP66CC,分租套房,無,1141110~1151130,無,冷氣、熱水器、冰箱,
西螺鎮,租賃房屋,雲林縣西螺鎮中正路４６號,0.0,,,,1141110,土地0建物0車位0,全,3,透天厝,住商用,加強磚造,0651120,39.86,3,0,3,有,無,有,8925,224,,0.0,0,,RPTNMLQKJIKGFCP86CC,分租套房,無,1141110~1151031,無,冷氣、熱水器、冰箱,
大埤鄉,租賃房屋,雲林縣大埤鄉福德街７０巷５號,0.0,,,,1141031,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0821018,133.7,6,2,3,有,無,無,10000,75,,0.0,0,,RPRNMLMLJIKGFBP88CC,整棟(戶)出租,無,1141101~1151031,無,,社會住宅代管
北港鎮,租賃房屋,雲林縣北港鎮華勝路６４號,0.0,,,,1141106,土地0建物1車位0,見其他登記事項,1,店面(店鋪),住家用,木造,,71.98,2,1,1,有,無,無,15000,208,,0.0,0,,RPPNMLMJKIKGFEP88CC,,無,1141101~1151031,無,,
西螺鎮,租賃房屋,雲林縣西螺鎮公館里公館３０之２５號,0.0,,,,1141105,土地0建物1車位0,全,3,透天厝,住宅,ＲＣ造,1110704,168.81,5,2,4,有,無,有,19800,117,,0.0,0,,RPPNMLLKKIKGFCP68CC,整棟(戶)出租,無,1141105~1171104,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
