鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
草屯鎮,租賃房屋,南投縣草屯鎮富中路５７號２樓,0.0,,,,1141129,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.980000000000004,4,0,4,有,有,有,5800,153,,0.0,0,,RPPNMLMKKIKGFBM38CC,分租套房,有,1141203~1151202,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
埔里鎮,租賃房屋,南投縣埔里鎮復興路２５號,0.0,,,,1141211,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0630106,70.3,2,2,1,有,無,無,6500,92,,0.0,0,,RPPNMLMKKIKGFCM48CC,整棟(戶)出租,無,1141215~1151214,無,熱水器,社會住宅代管
埔里鎮,租賃房屋,南投縣埔里鎮永豐路６７之６號,0.0,,,,1141208,土地0建物1車位0,全,2,透天厝,住家用,鋼骨ＲＣ造,1100120,264.66,3,2,2,有,無,有,15000,57,,0.0,0,,RPQNMLMKKIKGFCM58CC,整棟(戶)出租,無,1141210~1151209,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
南投市,租賃房屋,南投縣南投市彰南路三段８５之１０號九樓,0.0,,,,1141211,土地0建物1車位0,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870306,115.53999999999999,3,2,2,有,有,有,11000,95,,0.0,0,每月管理費1000元由承租人負擔，未計入租金。,RPPNMLPKKIKGFAM58CC,整棟(戶)出租,有,1141220~1151219,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅代管
草屯鎮,租賃房屋,南投縣草屯鎮明正巷２１弄１３號,0.0,,,,1141212,土地0建物1車位0,全,3,透天厝,住宅、避難室,鋼筋混凝土造,0730730,192.29,5,2,3,有,無,有,18000,94,,0.0,0,續租案件；,RPPNMLPKKIKGFBM68CC,整棟(戶)出租,無,1150105~1160104,無,熱水器、洗衣機、瓦斯或天然氣,社會住宅代管
南投市,租賃房屋,南投縣南投市南新路１２０巷１８號,76.62,住,,,1141205,土地2建物1車位0,全,4,透天厝,住宅、停車空間,鋼筋混凝土造,1120530,150.35,3,3,3,有,有,有,27000,180,,0.0,0,,RPQNMLQKKIKGFAM78CC,整棟(戶)出租,無,1150115~1160114,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視,
南投市,租賃房屋,南投縣南投市彰南路一段８０５巷４號,0.0,,,,1141123,土地0建物1車位0,一層,1,其他,住家用,鋼筋混凝土造,0790912,35.55,1,1,1,有,無,有,12000,338,,0.0,0,,RPRNMLQKKIKGFAM88CC,整棟(戶)出租,無,1141201~1151130,無,冷氣、熱水器,社會住宅代管
南投市,租賃房屋,南投縣南投市興和巷１４３弄２號,0.0,,,,1141215,土地0建物1車位0,全,1,透天厝,住家用,磚造,,59.14,3,2,1,有,無,有,9900,167,,0.0,0,,RPUNMLQKKIKGFAM56CC,整棟(戶)出租,無,1141220~1151219,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
草屯鎮,租賃房屋,南投縣草屯鎮儒林街１１０號,0.0,,,,1141213,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0570720,78.2,4,2,2,有,無,無,8000,102,,0.0,0,續租案件；,RPPNMLQKKIKGFBM78CC,整棟(戶)出租,無,1150101~1151231,無,熱水器,社會住宅代管
草屯鎮,租賃房屋+車位,南投縣草屯鎮富中路５９號５樓,0.0,,,,1141211,土地0建物0車位1,五層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.85,4,0,4,有,有,有,11500,304,坡道平面,0.0,3000,續租案件；,RPPNMLRKKIKGFBM88CC,分租套房,有,1141217~1150616,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
