鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
社頭鄉,房地(土地+建物),彰化縣社頭鄉北勢一巷,44.64,住,,,1141122,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,124.61,3,2,2,有,無,8650000,69417,,0.0,0,,RPPNMLLKKIKGFEN58CB,展源新天地,A棟4A1號,
社頭鄉,房地(土地+建物),彰化縣社頭鄉北勢一巷,31.73,住,,,1141122,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,92.47,2,2,2,有,無,6420000,69428,,0.0,0,,RPQNMLLKKIKGFEN68CB,展源新天地,C棟4C3號,
大村鄉,房地(土地+建物)+車位,彰化縣大村鄉加錫二巷,114.56,,特定農業區,甲種建築用地,1141128,土地6建物1車位1,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,164.63,4,2,4,有,無,10600000,64387,其他,0.0,0,該停車位位於法定空地上,RPPNMLLKKIKGFDN58DB,大村A+,A棟3號,
社頭鄉,房地(土地+建物)+車位,彰化縣社頭鄉仁雅段120地號,41.73,住,,,1141125,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.35,3,2,2,有,無,11580000,94647,一樓平面,0.0,0,,RPQNMLMKKIKGFEN78CB,首華富城,C棟C1號,
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮十茂路9巷1號,27.32,,特定農業區,甲種建築用地,1141205,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,102.2,2,2,2,有,無,10000000,103047,升降機械,12.92,800000,,RPPNMLPKKIKGFBN68CB,房角石?,C棟3號,
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮十茂路9巷1號,26.77,,特定農業區,甲種建築用地,1141123,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.61,2,2,2,有,無,9990000,104801,升降機械,12.92,800000,,RPQNMLPKKIKGFBN78CB,房角石?,D棟3號,
伸港鄉,房地(土地+建物),彰化縣伸港鄉中山路,30.67,,鄉村區,乙種建築用地,1141208,土地2建物1車位0,七層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,111.48,3,2,2,有,無,8750000,78489,,0.0,0,,RPRNMLPKKIKGFBN88CB,格睿全園,C棟7F-A號,
大村鄉,房地(土地+建物),彰化縣大村鄉大崙路與大崙路一巷路口,86.84,,鄉村區,乙種建築用地,1141130,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,141.46,4,3,3,有,無,9850000,69631,,0.0,0,,RPQNMLPKKIKGFDN98CB,和協居3,B棟2號,
永靖鄉,房地(土地+建物),彰化縣永靖鄉中山路一段134巷,89.35,住,,,1141130,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,147.48,3,3,3,有,無,11300000,76621,,0.0,0,,RPRNMLPKKIKGFDN09CB,靖品苑,A棟4號,
彰化市,房地(土地+建物),彰化縣彰化市成功路10號旁,9.1,其他,,,1141128,土地1建物1車位0,三層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,72.75,2,2,1,有,無,8600000,118213,,0.0,0,,RPPNMLPKKIKGFAN68DB,明日CITY,D棟3號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市三福街,19.4,住,,,1141127,土地2建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.57,2,2,2,有,無,15000000,136704,坡道平面,29.84,2050000,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQKKIKGFAN68CB,三福宅邸,C棟0號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市三福街,19.4,住,,,1141207,土地2建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.57,2,2,2,有,無,15050000,134593,坡道平面,29.84,2300000,,RPQNMLQKKIKGFAN78CB,三福宅邸,C棟0號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市三福街,23.16,住,,,1141205,土地2建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.91,3,2,2,有,無,17570000,135491,坡道平面,29.84,2250000,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLQKKIKGFAN88CB,三福宅邸,D棟0號,
田中鎮,房地(土地+建物)+車位,彰化縣田中鎮建國路與長順街交叉路口,21.03,住,,,1141203,土地1建物1車位1,七層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,116.96,2,2,2,有,無,8920000,90812,坡道平面,33.05,1300000,,RPPNMLQKKIKGFEN09CB,田中匯,7A棟3號,
埔心鄉,房地(土地+建物)+車位,彰化縣埔心鄉霖鳳段53地號等3筆,31.41,,特定農業區,甲種建築用地,1141208,土地3建物1車位1,三層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,99.2,2,2,1,有,無,5980000,67527,一樓平面,22.49,800000,,RPPNMLQKKIKGFHN76CB,富貴呈佳,E棟3號,
埔心鄉,房地(土地+建物)+車位,彰化縣埔心鄉霖鳳段53地號等3筆,31.41,,特定農業區,甲種建築用地,1141208,土地3建物1車位1,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,99.2,2,2,1,有,無,5980000,67527,一樓平面,22.49,800000,,RPQNMLQKKIKGFHN86CB,富貴呈佳,E棟4號,
線西鄉,房地(土地+建物),彰化縣線西鄉重興段75地號,20.98,,特定農業區,甲種建築用地,1141217,土地1建物1車位0,六層,6,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,67.38,2,2,1,有,無,5660000,84001,,0.0,0,114年05月16日，原75.76.77-1地號等3筆，合併成75地號等1筆,RPPNMLRKKIKGFBN88CB,赫里富,B棟3號,
大村鄉,房地(土地+建物)+車位,彰化縣大村鄉中正東路98巷,36.78,,鄉村區,乙種建築用地,1141201,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.17,3,2,2,有,無,9990000,90241,一樓平面,14.98,1400000,,RPPNMLRKKIKGFDN09CB,村上天悅,A棟2-2號,
大村鄉,房地(土地+建物)+車位,彰化縣大村鄉中正東路98巷,28.86,,鄉村區,乙種建築用地,1141210,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,89.67,2,2,2,有,無,8400000,93721,一樓平面,14.98,1400000,,RPQNMLRKKIKGFDN56CB,村上天悅,A棟5-4號,
社頭鄉,房地(土地+建物),彰化縣社頭鄉北勢一巷,82.15,住,,,1141202,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,170.98,4,3,4,有,無,12700000,74278,,0.0,0,,RPPNMLRKKIKGFEN56CB,展源新天地,G號,
社頭鄉,房地(土地+建物),彰化縣社頭鄉北勢一巷,38.66,住,,,1141204,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,109.89,3,2,2,有,無,7560000,68796,,0.0,0,,RPQNMLRKKIKGFEN66CB,展源新天地,A棟3A3號,
埔鹽鄉,房地(土地+建物),彰化縣埔鹽鄉大新路,94.66,,鄉村區,乙種建築用地,1141213,土地2建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,107.86,3,2,3,有,無,8080000,74912,,0.0,0,,RPPNMLRKKIKGFHN86CB,惠萊享家3 & 惠星享家3,C棟1號,
溪湖鎮,房地(土地+建物)+車位,彰化縣溪湖鎮彰水路四段235巷91號對面,39.12,住,,,1141211,土地1建物1車位1,七層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,101.72,3,2,2,有,無,10180000,100079,一樓平面,0.0,1100000,,RPPNMLRKKIKGFHN96DB,星瑚,C棟07F號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市崙平南路,22.74,住,,,1141209,土地6建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.0,3,2,2,有,無,16550000,124078,坡道平面,29.75,2250000,,RPPNMLSKKIKGFAN88CB,泉宇大恆,B棟10F-F號,
溪湖鎮,房地(土地+建物)+車位,彰化縣溪湖鎮北聖路,21.65,,鄉村區,乙種建築用地,1141212,土地1建物1車位1,四層,6,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,91.16,2,2,1,有,無,7200000,80397,一樓平面,16.53,1200000,,RPPNMLSKKIKGFHN96CB,沐田閱,A棟4F號,
