鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
前金區,房地(土地+建物),高雄市前金區五福三路,5.16,商,,,1140308,土地3建物1車位0,五層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.78,1,2,1,有,無,12180000,150780,,0.0,0,雨遮面積得依法登記，不予計價,RPTNMLMLLHKGFAE87CB,星峰匯,A3棟5號,
前金區,房地(土地+建物)+車位,高雄市前金區五福三路,9.09,商,,,1140312,土地3建物1車位1,二十三層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.33,3,2,2,有,無,25450000,161893,坡道平面,37.57,2500000,雨遮面積得依法登記，不予計價,RPUNMLMLLHKGFAE97CB,星峰匯,A5棟23號,
前金區,房地(土地+建物)+車位,高雄市前金區五福三路,9.09,商,,,1140315,土地3建物1車位1,二十二層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.33,3,2,2,有,無,25250000,161188,坡道平面,37.57,2400000,雨遮面積得依法登記，不予計價,RPVNMLMLLHKGFAE08CB,星峰匯,A5棟22號,
前金區,房地(土地+建物)+車位,高雄市前金區五福三路,9.09,商,,,1140314,土地3建物1車位1,十三層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,176.31,3,2,2,有,無,23750000,153428,坡道平面,34.55,2000000,雨遮面積得依法登記，不予計價,RPWNMLMLLHKGFAE18CB,星峰匯,A5棟13號,
彌陀區,房地(土地+建物),高雄市彌陀區公園路,93.65,,一般農業區,甲種建築用地,1140312,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,163.28,3,2,4,有,無,15300000,93704,,0.0,0,,RPPNMLMLLHKGFFE97CB,家和萬世‧6,D棟12號,
大寮區,房地(土地+建物)+車位,高雄市大寮區江山路,24.16,住,,,1140316,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.56,3,2,2,有,無,9930000,79855,坡道平面,13.75,1800000,,RPQNMLMLLHKGFLE68CB,基茂樂go,D棟2號,
大寮區,房地(土地+建物)+車位,高雄市大寮區江山路,19.83,住,,,1140316,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,97.36,2,2,2,有,無,8550000,80732,坡道平面,13.75,1800000,,RPRNMLMLLHKGFLE78CB,基茂樂go,D棟3號,
大寮區,房地(土地+建物)+車位,高雄市大寮區江山路,28.18,住,,,1140228,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.78,4,2,2,有,無,11950000,84610,坡道平面,15.0,1900000,,RPSNMLMLLHKGFLE88CB,基茂樂go,A棟3號,
三民區,房地(土地+建物)+車位,高雄市三民區覺民路,0.0,,,,1140322,土地0建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.56,3,2,2,有,無,10880000,85958,坡道平面,27.6,1600000,總價含地上權標的價款371萬元地上權房屋；,RPPNMLNLLHKGFDE87CB,KS1,D5棟0號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德中路上,19.72,住,,,1140315,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.9,2,2,2,有,無,18300000,126103,坡道平面,24.83,2150000,,RPPNMLNLLHKGFEE97CB,月理河,A棟2號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德中路上,19.72,住,,,1140321,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.93,2,2,1,有,無,18120000,125869,坡道平面,22.86,2000000,,RPQNMLNLLHKGFEE08CB,月理河,A棟2號,
仁武區,房地(土地+建物)+車位,高雄市仁武區永新一街,22.0,住,,,1140315,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.8,2,2,2,有,無,12100000,114116,坡道機械,24.35,1550000,,RPPNMLNLLHKGFIE38CB,琢悅2,A1棟2F號,
路竹區,房地(土地+建物)+車位,高雄市路竹區民治路16巷6號二樓之2,30.44,,鄉村區,乙種建築用地,1140323,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.22,3,2,2,有,無,11150000,98407,一樓平面,15.19,1700000,,RPPNMLNLLHKGFJE48CB,日日．澍陽,B1棟2號,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美明路,17.99,住,,,1140321,土地1建物1車位1,十八層,30,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,231.08,1,2,2,有,無,36370000,166355,坡道平面,28.08,2600000,,RPPNMLOLLHKGFAE67CB,里山美術,A棟3號,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東四路,10.64,住,,,1140321,土地1建物1車位1,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.36,3,1,2,有,無,17350000,156151,坡道平面,23.26,2500000,,RPQNMLOLLHKGFAE77CB,美術1808,A7棟X號,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區三多四路66號旁,9.12,商,,,1140311,土地1建物1車位1,十七層,28,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.74,3,2,2,有,無,20380000,144061,坡道平面,33.99,1400000,,RPPNMLOLLHKGFBE77CB,星玥灣,A棟1號,
新興區,房地(土地+建物)+車位,高雄市新興區五福一街,10.82,商,,,1140228,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.52,2,2,2,有,無,16200000,128892,一樓平面,20.35,2000000,,RPQNMLOLLHKGFBE87CB,寶象文化豆,A棟10號,
